MeetID,MeetPath,Federation,Date,MeetCountry,MeetState,MeetTown,MeetName
0,365strong/1601,365Strong,10/29/16,USA,NC,Charlotte,2016 Junior & Senior National Powerlifting Championships
1,365strong/1602,365Strong,11/19/16,USA,MO,Ozark,Thanksgiving Powerlifting Classic
2,365strong/1603,365Strong,7/9/16,USA,NC,Charlotte,Charlotte Europa Games
3,365strong/1604,365Strong,6/11/16,USA,SC,Rock Hill,Carolina Cup Push Pull Challenge
4,365strong/1605,365Strong,4/10/16,USA,SC,Rock Hill,Eastern USA Challenge
5,365strong/1701,365Strong,4/22/17,USA,NC,Charlotte,Charlotte Europa Games
6,365strong/1702,365Strong,1/21/17,USA,GA,Martinez,New Year Challenge
7,365strong/1703,365Strong,6/10/17,USA,MO,Lake Ozark,Midwest Regionals
8,365strong/1704,365Strong,7/15/17,USA,SC,Rock Hill,Victory Cup Challenge
9,365strong/1705,365Strong,8/12/17,USA,NC,Fayetteville,Eastern Regional Championship
10,365strong/1706,365Strong,9/30/17,USA,IN,Evansville,Ohio Valley Regional Open Powerlifting Championships
11,365strong/1707,365Strong,9/30/17,USA,IN,Evansville,US Masters Open
12,365strong/1708,365Strong,10/28/17,USA,NC,Charlotte,2017 Men & Women National Powerlifting Championships
13,365strong/1709,365Strong,12/9/17,USA,SC,Conway,East Coast Conflict
14,aau/1601,AAU,7/9/16,USA,CA,San Jose,Kindred NorCal Powerlifting Championships
15,aau/1602,AAU,9/23/16,USA,NV,Las Vegas,2016 AAU Worlds
16,aau/1701,AAU,2/25/17,USA,CA,San Diego,So Cal Meet
17,aau/1702,AAU,5/20/17,USA,CA,Los Angeles,Battle of Los Angeles
18,aau/1703,AAU,2/11/17,USA,CA,Santa Barbara,Central California Meet
19,aau/1704,AAU,3/18/17,USA,CA,Santa Clara,American Meet
20,aau/1705,AAU,1/21/17,USA,NV,Las Vegas,Sin City Powerlifting
21,adfpa/9501,ADFPA,7/15/95,USA,PA,Wilkes-Barre,Men's Nationals
22,apa/1001,APA,11/13/10,USA,FL,,Ironfest Challenge
23,apa/1002,APA,4/17/10,USA,,,Raw Nationals
24,apa/1401,APA,10/4/14,USA,OR,Portland,Elite Fall Classic
25,apa/1601,APA,1/30/16,USA,OR,Portland,APA Winter Classic
26,apa/1602,APA,4/16/16,USA,OR,Clackamas,Elite Spring Challenge District 7 Regionals
27,apa/1701,APA,1/21/17,USA,AK,Searcy,Rhino Open Championships
28,apa/1702,APA,8/5/17,USA,MI,Metamora,Michigan Summer Iron Bash
29,apa/1703,APA,7/29/17,USA,AL,Tuscaloosa,Raw Wars III
30,apa/1704,APA,7/22/17,USA,MO,Ellisville,Missouri Raw Summer Iron Bash
31,apa/1705,APA,7/15/17,USA,TX,El Paso,Lone Star Raw Championships
32,apa/1706,APA,5/20/17,USA,OH,Lebanon,Raw Nationals
33,apa/1707,APA,7/8/17,USA,AR,Newport,Southern States
34,apa/1708,APA,6/17/17,USA,NJ,Hillsborough,Garden State Raw Championships
35,apa/1709,APA,6/10/17,USA,AR,Harrison,Clash of the Iron Warriors
36,apa/1710,APA,5/20/17,USA,FL,Largo,Blessed Iron Bash
37,apa/1711,APA,5/13/17,USA,MS,Philadelphia,Mississippi State Championships
38,apa/1712,APA,5/13/17,USA,VT,Brattleboro,30th Can-Am International Championships
39,apa/1713,APA,4/15/17,USA,TX,McAllen,Region 6 Championships
40,apa/1714,APA,4/1/17,USA,TX,El Paso,Sun City Championships
41,apa/1715,APA,2/18/17,USA,AR,Harrison,Arkansas Raw Championships
42,apa/1716,APA,8/19/17,USA,AR,Conway,Battle of the Badasses
43,apa/1717,APA,9/2/17,USA,MO,Leadington,Ozark Open
44,apa/1718,APA,4/22/17,USA,MO,Jackson,ShowMe State Raw Championships
45,apa/1719,APA,3/25/17,USA,UT,St. George,Utah Open Raw Championships
46,apa/1720,APA,1/21/17,USA,FL,Largo,Thunderbay Throwdown
47,apa/1721,APA,10/7/17,USA,TX,Weslaco,US Open
48,apa/1722,APA,9/23/17,USA,UT,St. George,West Coast Raw Championships
49,apa/1723,APA,9/16/17,USA,MI,Clawson,4th Annual Wolverine Open Raw Championships
50,apa/1724,APA,12/9/17,USA,AR,Harrison,Rocky Memorial VIII
51,apa/1725,APA,2/11/17,USA,MS,Philadelphia,Magnolia Open Championships
52,apa/1726,APA,1/21/17,USA,OR,Portland,Winter Classic
53,apa/1727,APA,2/25/17,USA,MO,Park Hills,District 5 Regional Championships
54,apa/1728,APA,3/18/17,USA,MI,St. John's,Michigan Open Championships
55,apc/1701,APC,6/24/17,USA,GA,Gainesville,15th Annual Nationals
56,apc/1702,APC,3/18/17,USA,GA,Gainesville,Georgia State Championships
57,apc/1703,APC,3/11/17,USA,FL,,Florida Panhandle Dominion
58,apf/1101,APF,10/29/11,USA,FL,Orlando,APF-AAPF Southern States
59,apf/1401,WPC,11/10/14,USA,FL,,World Championships
60,apf/1501,APF,6/12/15,USA,MI,Grand Rapids,2015 APF Raw Nationals
61,apf/1502,APF,4/15/15,USA,FL,,Gulf Coast Winter Bash
62,apf/1601,APF,8/6/16,USA,ME,Westbrook,2016 APF Maine State Powerlifting
63,apf/1602,WPC,8/6/16,USA,MI,Grand Rapids,2016 WPC Single Lift Championships
64,apf/1603/aapf,AAPF,7/30/16,USA,ND,Fargo,AAPF North Dakota Championship
65,apf/1603/apf,APF,7/30/16,USA,ND,Fargo,APF North Dakota Championship
66,apf/1604/aapf,AAPF,7/30/16,USA,IL,Chicago,Chicago Summer Bash 13
67,apf/1604/apf,APF,7/30/16,USA,IL,Chicago,Chicago Summer Bash 13
68,apf/1605,WPC,8/27/16,USA,FL,Jacksonville,WPC Open Challenge
69,apf/1606,CAPO,8/13/16,Australia,NSW,Cronulla,CAPO/WPC 3-Lift National Titles
70,apf/1607,APF,5/6/16,USA,IL,Lombard,APF Raw Nationals
71,apf/1608,APF,5/27/16,USA,FL,Orlando,APF Equipped Nationals
72,apf/1609,APF,9/24/16,USA,SD,Chamberlain,Midwest Iron Reaping
73,apf/1610,APF,10/7/16,USA,MI,Grand Rapids,2016 Michigan APF Fall Open
74,apf/1611,APF,9/17/16,USA,FL,,OPI Open
75,apf/1612,WPC,10/1/16,Finland,,Helsinki,Metal Nutrition Power Expo 2016
76,apf/1613,APF,9/17/16,USA,CA,Fresno,2016 APF California Fall Classic
77,apf/1614,WPC,11/7/16,USA,LA,Baton Rouge,2016 WPC Worlds
78,apf/1615,APF,10/29/16,USA,IL,,2016 Beast of the Bench
79,apf/1616,APF,10/29/16,USA,IL,,2016 Rise of the Deadlift
80,apf/1617,APF,10/22/16,USA,FL,,Southern States Championships
81,apf/1618,APF,11/4/16,USA,ME,Westbrook,New England Powerlifting & Bench Press Championships
82,apf/1619,APF,12/3/16,USA,FL,New Port Richey,Gulf Coast Winter Bash
83,apf/1620,APF,12/17/16,USA,IL,,IL Raw Power Challenge
84,apf/1621,APF,4/2/16,USA,IL,,Illinois State Meet
85,apf/1701,APF,4/1/17,USA,FL,Tampa,Gulfcoast
86,apf/1702,APF,4/22/17,USA,IL,,AAPF IL High School Championships
87,apf/1703,WPC,3/25/17,Finland,,Juva,Finnish Nationals
88,apf/1704,APF,5/7/17,USA,FL,Lake Buena Vista,Raw National Championships
89,apf/1705,APF,5/6/17,USA,ME,Portland,Maine State Championship
90,apf/1706,APF,2/4/17,USA,CA,Santa Maria,California Central Coast Open
91,apf/1707,APF,4/22/17,USA,OR,Portland,Spring Challenge
92,apf/1708,APF,5/26/17,USA,IL,Lombard,AAPF Nationals 2017
93,apf/1709,APF,4/30/17,USA,IL,,ILPL Meet for MDA
94,apf/1710,WPC,4/15/17,Ireland,,Limerick,Irish Pro Invitational 2
95,apf/1711,APF,3/25/17,USA,IA,,Armed Forces Show and Iowa and Nebraska State Championships
96,apf/1712,APF,6/15/17,USA,FL,,APF Equipped Nationals
97,apf/1713,APF,3/25/17,USA,IL,,IL State Meet
